[2025-02-22 18:38:21] DEBUG | root - Connecting c LSHIFT 1 -> t
[2025-02-22 18:38:21] DEBUG | root - Connecting b RSHIFT 1 -> v
[2025-02-22 18:38:21] DEBUG | root - Connecting b RSHIFT 5 -> f
[2025-02-22 18:38:21] DEBUG | root - Connecting b RSHIFT 2 -> d
[2025-02-22 18:38:21] DEBUG | root - Connecting b RSHIFT 3 -> e
[2025-02-22 18:38:21] DEBUG | root - Connecting e AND f -> h
[2025-02-22 18:38:21] DEBUG | root - Connecting NOT h -> i
[2025-02-22 18:38:21] DEBUG | root - Some lines are still ignored. Going through instructions with updated wire_dct now.
[2025-02-22 18:38:21] DEBUG | root - Connecting e OR f -> g
[2025-02-22 18:38:21] DEBUG | root - Some lines are still ignored. Going through instructions with updated wire_dct now.
[2025-02-22 18:38:21] DEBUG | root - Connecting g AND i -> j
[2025-02-22 18:38:21] DEBUG | root - Connecting d OR j -> k
[2025-02-22 18:38:21] DEBUG | root - Connecting d AND j -> l
[2025-02-22 18:38:21] DEBUG | root - Connecting NOT l -> m
[2025-02-22 18:38:21] DEBUG | root - Some lines are still ignored. Going through instructions with updated wire_dct now.
[2025-02-22 18:38:21] DEBUG | root - Connecting k AND m -> n
[2025-02-22 18:38:21] DEBUG | root - Connecting b AND n -> p
[2025-02-22 18:38:21] DEBUG | root - Connecting NOT p -> q
[2025-02-22 18:38:21] DEBUG | root - Some lines are still ignored. Going through instructions with updated wire_dct now.
[2025-02-22 18:38:21] DEBUG | root - Connecting b OR n -> o
[2025-02-22 18:38:21] DEBUG | root - Connecting o AND q -> r
[2025-02-22 18:38:21] DEBUG | root - Some lines are still ignored. Going through instructions with updated wire_dct now.
[2025-02-22 18:38:21] DEBUG | root - Connecting 1 AND r -> s
[2025-02-22 18:38:21] DEBUG | root - Connecting s LSHIFT 15 -> w
[2025-02-22 18:38:21] DEBUG | root - Connecting v OR w -> x
[2025-02-22 18:38:21] DEBUG | root - Connecting x RSHIFT 3 -> z
[2025-02-22 18:38:21] DEBUG | root - Some lines are still ignored. Going through instructions with updated wire_dct now.
[2025-02-22 18:38:21] DEBUG | root - Connecting t OR s -> u
[2025-02-22 18:38:21] DEBUG | root - Connecting x RSHIFT 1 -> aq
[2025-02-22 18:38:21] DEBUG | root - Connecting x RSHIFT 5 -> aa
[2025-02-22 18:38:21] DEBUG | root - Connecting x RSHIFT 2 -> y
[2025-02-22 18:38:21] DEBUG | root - Connecting u LSHIFT 1 -> ao
